path_signal,path_target
/root/train/highSNR/data/1.tif,/root/train/highSNR/mask/1.tif
/root/train/highSNR/data/2.tif,/root/train/highSNR/mask/2.tif
/root/train/highSNR/data/3.tif,/root/train/highSNR/mask/3.tif
/root/train/highSNR/data/4.tif,/root/train/highSNR/mask/4.tif
/root/train/highSNR/data/5.tif,/root/train/highSNR/mask/5.tif
/root/train/highSNR/data/6.tif,/root/train/highSNR/mask/6.tif
/root/train/highSNR/data/7.tif,/root/train/highSNR/mask/7.tif
/root/train/highSNR/data/8.tif,/root/train/highSNR/mask/8.tif
/root/train/highSNR/data/9.tif,/root/train/highSNR/mask/9.tif
/root/train/highSNR/data/10.tif,/root/train/highSNR/mask/10.tif
/root/train/highSNR/data/11.tif,/root/train/highSNR/mask/11.tif
/root/train/highSNR/data/12.tif,/root/train/highSNR/mask/12.tif
/root/train/highSNR/data/13.tif,/root/train/highSNR/mask/13.tif
/root/train/highSNR/data/14.tif,/root/train/highSNR/mask/14.tif
/root/train/highSNR/data/15.tif,/root/train/highSNR/mask/15.tif
/root/train/highSNR/data/16.tif,/root/train/highSNR/mask/16.tif
/root/train/highSNR/data/17.tif,/root/train/highSNR/mask/17.tif
/root/train/highSNR/data/18.tif,/root/train/highSNR/mask/18.tif
/root/train/highSNR/data/19.tif,/root/train/highSNR/mask/19.tif
/root/train/highSNR/data/20.tif,/root/train/highSNR/mask/20.tif
/root/train/highSNR/data/21.tif,/root/train/highSNR/mask/21.tif
/root/train/highSNR/data/22.tif,/root/train/highSNR/mask/22.tif
/root/train/highSNR/data/23.tif,/root/train/highSNR/mask/23.tif
/root/train/highSNR/data/24.tif,/root/train/highSNR/mask/24.tif
/root/train/highSNR/data/25.tif,/root/train/highSNR/mask/25.tif
/root/train/highSNR/data/26.tif,/root/train/highSNR/mask/26.tif
/root/train/highSNR/data/27.tif,/root/train/highSNR/mask/27.tif
/root/train/highSNR/data/28.tif,/root/train/highSNR/mask/28.tif
/root/train/highSNR/data/29.tif,/root/train/highSNR/mask/29.tif
/root/train/highSNR/data/30.tif,/root/train/highSNR/mask/30.tif
/root/train/highSNR/data/31.tif,/root/train/highSNR/mask/31.tif
/root/train/highSNR/data/32.tif,/root/train/highSNR/mask/32.tif
/root/train/highSNR/data/33.tif,/root/train/highSNR/mask/33.tif
/root/train/highSNR/data/34.tif,/root/train/highSNR/mask/34.tif
/root/train/highSNR/data/35.tif,/root/train/highSNR/mask/35.tif
/root/train/highSNR/data/36.tif,/root/train/highSNR/mask/36.tif
/root/train/highSNR/data/37.tif,/root/train/highSNR/mask/37.tif
/root/train/highSNR/data/38.tif,/root/train/highSNR/mask/38.tif
/root/train/highSNR/data/39.tif,/root/train/highSNR/mask/39.tif
/root/train/highSNR/data/40.tif,/root/train/highSNR/mask/40.tif
/root/train/highSNR/data/41.tif,/root/train/highSNR/mask/41.tif
/root/train/highSNR/data/42.tif,/root/train/highSNR/mask/42.tif
/root/train/highSNR/data/43.tif,/root/train/highSNR/mask/43.tif
/root/train/highSNR/data/44.tif,/root/train/highSNR/mask/44.tif
/root/train/highSNR/data/45.tif,/root/train/highSNR/mask/45.tif
/root/train/highSNR/data/46.tif,/root/train/highSNR/mask/46.tif
/root/train/highSNR/data/47.tif,/root/train/highSNR/mask/47.tif
/root/train/highSNR/data/48.tif,/root/train/highSNR/mask/48.tif
/root/train/highSNR/data/49.tif,/root/train/highSNR/mask/49.tif
/root/train/highSNR/data/50.tif,/root/train/highSNR/mask/50.tif
/root/train/highSNR/data/51.tif,/root/train/highSNR/mask/51.tif
/root/train/highSNR/data/52.tif,/root/train/highSNR/mask/52.tif
/root/train/highSNR/data/53.tif,/root/train/highSNR/mask/53.tif
/root/train/highSNR/data/54.tif,/root/train/highSNR/mask/54.tif
/root/train/highSNR/data/55.tif,/root/train/highSNR/mask/55.tif
/root/train/highSNR/data/56.tif,/root/train/highSNR/mask/56.tif
/root/train/highSNR/data/57.tif,/root/train/highSNR/mask/57.tif
/root/train/highSNR/data/58.tif,/root/train/highSNR/mask/58.tif
/root/train/highSNR/data/59.tif,/root/train/highSNR/mask/59.tif
/root/train/highSNR/data/60.tif,/root/train/highSNR/mask/60.tif
/root/train/highSNR/data/61.tif,/root/train/highSNR/mask/61.tif
/root/train/highSNR/data/62.tif,/root/train/highSNR/mask/62.tif
/root/train/highSNR/data/63.tif,/root/train/highSNR/mask/63.tif
/root/train/highSNR/data/64.tif,/root/train/highSNR/mask/64.tif
/root/train/highSNR/data/65.tif,/root/train/highSNR/mask/65.tif
/root/train/highSNR/data/66.tif,/root/train/highSNR/mask/66.tif
/root/train/highSNR/data/67.tif,/root/train/highSNR/mask/67.tif
/root/train/highSNR/data/69.tif,/root/train/highSNR/mask/69.tif
/root/train/highSNR/data/70.tif,/root/train/highSNR/mask/70.tif
/root/train/highSNR/data/71.tif,/root/train/highSNR/mask/71.tif
/root/train/highSNR/data/72.tif,/root/train/highSNR/mask/72.tif
/root/train/highSNR/data/73.tif,/root/train/highSNR/mask/73.tif
/root/train/highSNR/data/74.tif,/root/train/highSNR/mask/74.tif
/root/train/highSNR/data/75.tif,/root/train/highSNR/mask/75.tif
/root/train/highSNR/data/76.tif,/root/train/highSNR/mask/76.tif
/root/train/highSNR/data/77.tif,/root/train/highSNR/mask/77.tif
/root/train/highSNR/data/78.tif,/root/train/highSNR/mask/78.tif
/root/train/highSNR/data/79.tif,/root/train/highSNR/mask/79.tif
/root/train/highSNR/data/80.tif,/root/train/highSNR/mask/80.tif
